ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code
1649257,G435216,07/21/2001 10:00:00 PM,011XX N LA SALLE DR,0810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),False,False,1824,18.0,,,06
1656552,G443525,07/28/2001 02:00:00 AM,0000X E CEDAR ST,0460,BATTERY,SIMPLE,STREET,False,False,1824,18.0,,,08B
1662094,G448161,07/30/2001 10:35:47 AM,005XX W WINNECONNA PW,4650,OTHER OFFENSE,SEX OFFENDER: FAIL TO REGISTER,RESIDENCE,True,False,621,6.0,,,26
1745494,G552588,09/14/2001 10:00:00 PM,026XX N HOYNE AV,0460,BATTERY,SIMPLE,STREET,False,False,1913,19.0,,,08B
1758527,G566579,09/21/2001 01:00:00 PM,043XX W NORTH AV,0560,ASSAULT,SIMPLE,LIBRARY,True,False,2534,25.0,,,08A
1772055,G586573,09/30/2001 03:30:00 PM,103XX S MICHIGAN AV,0810,THEFT,OVER $500,DRUG STORE,True,False,512,5.0,,,06
1838054,G674163,11/08/2001 08:45:00 PM,017XX E 77 ST,0460,BATTERY,SIMPLE,APARTMENT,False,True,414,4.0,,,08B
1841864,G679022,11/11/2001 08:40:00 AM,011XX E 93 ST,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,False,413,4.0,,,26
10411968,HZ148917,02/12/2016 09:47:00 AM,068XX N SHERIDAN RD,4650,OTHER OFFENSE,SEX OFFENDER: FAIL TO REGISTER,APARTMENT,False,False,2431,24.0,49.0,1.0,26
2174140,HH429394,06/08/2002 12:30:00 AM,057XX W CORNELIA AVE,0810,THEFT,OVER $500,STREET,False,False,1633,16.0,38.0,15.0,06
2198569,HH452968,06/19/2002 02:24:21 PM,079XX S CICERO AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,COMMERCIAL / BUSINESS OFFICE,False,False,834,8.0,13.0,70.0,14
2280128,HH549642,07/31/2002 10:31:00 PM,003XX S ARTESIAN AVE,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,STREET,False,False,1125,11.0,2.0,28.0,04B
2264082,HH543959,07/29/2002 10:30:00 AM,066XX S CALIFORNIA AVE,0930,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,OTHER,False,False,831,8.0,15.0,66.0,07
2326367,HH621259,08/31/2002 10:00:00 AM,018XX W LUNT AVE,0820,THEFT,$500 AND UNDER,STREET,False,False,2424,24.0,49.0,1.0,06
